ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
IF2103.CFX,20200720,,4475.8,4512.8,4578.2,4440.8,4567.6,4553.8,91.8,78.0,685.0,92876.694,641.0,
IF2103.CFX,20200721,4567.6,4553.8,4593.6,4603.4,4550.0,4566.8,4565.8,13.0,12.0,625.0,85734.714,739.0,98.0
IF2103.CFX,20200722,4566.8,4565.8,4562.2,4708.4,4562.2,4598.4,4605.8,32.6,40.0,907.0,125878.602,1050.0,311.0
IF2103.CFX,20200723,4598.4,4605.8,4576.4,4635.0,4497.2,4604.4,4603.4,-1.4,-2.4,680.0,93340.884,1159.0,109.0
IF2103.CFX,20200724,4604.4,4603.4,4577.6,4590.2,4321.8,4360.2,4372.4,-243.2,-231.0,1235.0,164847.756,1511.0,352.0
IF2103.CFX,20200727,4360.2,4372.4,4429.2,4434.0,4357.6,4397.0,4386.0,24.6,13.6,635.0,83798.076,1473.0,-38.0
IF2103.CFX,20200728,4397.0,4386.0,4427.6,4459.4,4392.2,4421.2,4408.6,35.2,22.6,658.0,87366.204,1450.0,-23.0
IF2103.CFX,20200729,4421.2,4408.6,4413.0,4589.2,4408.6,4577.0,4564.2,168.4,155.6,973.0,132006.972,1798.0,348.0
IF2103.CFX,20200730,4577.0,4564.2,4581.2,4595.8,4536.2,4540.4,4546.4,-23.8,-17.8,760.0,103993.428,1886.0,88.0
IF2103.CFX,20200731,4540.4,4546.4,4542.8,4649.0,4484.4,4567.8,4565.4,21.4,19.0,1134.0,155659.938,1938.0,52.0
IF2103.CFX,20200803,4567.8,4565.4,4620.2,4669.2,4601.8,4633.6,4625.2,68.2,59.8,831.0,115341.612,1966.0,28.0
IF2103.CFX,20200804,4633.6,4625.2,4647.8,4669.8,4619.2,4646.0,4642.4,20.8,17.2,1015.0,141352.956,2149.0,183.0
IF2103.CFX,20200805,4646.0,4642.4,4646.4,4646.4,4569.0,4619.0,4618.0,-23.4,-24.4,978.0,135309.336,2350.0,201.0
IF2103.CFX,20200806,4619.0,4618.0,4634.4,4649.6,4530.0,4614.2,4597.8,-3.8,-20.2,916.0,126078.12,2444.0,94.0
IF2103.CFX,20200807,4614.2,4597.8,4600.0,4600.0,4487.0,4559.8,4564.0,-38.0,-33.8,941.0,128438.976,2537.0,93.0
IF2103.CFX,20200810,4559.8,4564.0,4553.8,4600.6,4488.0,4562.4,4579.8,-1.6,15.8,1116.0,152701.518,2650.0,113.0
IF2103.CFX,20200811,4562.4,4579.8,4585.8,4639.4,4508.0,4518.6,4547.2,-61.2,-32.6,1236.0,170350.968,3073.0,423.0
IF2103.CFX,20200812,4518.6,4547.2,4509.0,4527.4,4412.8,4497.0,4476.4,-50.2,-70.8,956.0,128190.096,3223.0,150.0
IF2103.CFX,20200813,4497.0,4476.4,4512.6,4522.0,4469.8,4471.4,4477.0,-5.0,0.6,735.0,99018.948,3154.0,-69.0
IF2103.CFX,20200814,4471.4,4477.0,4466.8,4580.0,4453.8,4580.0,4544.0,103.0,67.0,1371.0,185423.244,3721.0,567.0
IF2103.CFX,20200817,4580.0,4544.0,4598.2,4734.4,4582.0,4698.8,4691.0,154.8,147.0,2385.0,333996.642,4240.0,519.0
IF2103.CFX,20200818,4698.8,4691.0,4698.8,4721.0,4664.2,4689.2,4682.2,-1.8,-8.8,1296.0,182537.49,3906.0,-334.0
IF2103.CFX,20200819,4689.2,4682.2,4682.2,4697.4,4591.0,4595.0,4617.8,-87.2,-64.4,1726.0,240370.398,4414.0,508.0
IF2103.CFX,20200820,4595.0,4617.8,4600.0,4600.0,4523.0,4547.2,4541.0,-70.6,-76.8,2006.0,274033.572,4721.0,307.0
IF2103.CFX,20200821,4547.2,4541.0,4589.0,4610.8,4541.8,4585.0,4565.0,44.0,24.0,1374.0,188822.874,4651.0,-70.0
IF2103.CFX,20200824,4585.0,4565.0,4616.8,4634.0,4575.0,4598.0,4600.6,33.0,35.6,2023.0,279518.442,5465.0,814.0
IF2103.CFX,20200825,4598.0,4600.6,4619.8,4666.0,4594.0,4615.0,4608.6,14.4,8.0,1843.0,256170.42,5480.0,15.0
IF2103.CFX,20200826,4615.0,4608.6,4616.0,4642.8,4545.6,4562.4,4559.2,-46.2,-49.4,1695.0,233478.336,5686.0,206.0
IF2103.CFX,20200827,4562.4,4559.2,4567.8,4596.6,4539.2,4594.8,4578.6,35.6,19.4,1979.0,271227.312,6113.0,427.0
IF2103.CFX,20200828,4594.8,4578.6,4592.4,4739.8,4576.2,4731.8,4719.4,153.2,140.8,3334.0,466393.188,6674.0,561.0
IF2103.CFX,20200831,4731.8,4719.4,4761.0,4794.8,4669.0,4678.2,4696.4,-41.2,-23.0,4149.0,590622.876,7417.0,743.0
IF2103.CFX,20200901,4678.2,4696.4,4670.0,4723.2,4669.4,4718.0,4698.4,21.6,2.0,2121.0,298752.132,7069.0,-348.0
IF2103.CFX,20200902,4718.0,4698.4,4743.0,4743.0,4647.0,4692.8,4700.0,-5.6,1.6,3048.0,429294.354,7429.0,360.0
IF2103.CFX,20200903,4692.8,4700.0,4687.4,4737.0,4652.8,4680.0,4664.8,-20.0,-35.2,2216.0,311661.156,7332.0,-97.0
IF2103.CFX,20200904,4680.0,4664.8,4620.0,4645.0,4594.0,4629.8,4625.8,-35.0,-39.0,2816.0,389703.582,8072.0,740.0
IF2103.CFX,20200907,4629.8,4625.8,4621.4,4655.0,4501.6,4509.0,4543.6,-116.8,-82.2,3531.0,485111.124,8377.0,305.0
IF2103.CFX,20200908,4509.0,4543.6,4548.0,4575.4,4512.4,4553.4,4558.4,9.8,14.8,2420.0,329785.554,8340.0,-37.0
IF2103.CFX,20200909,4553.4,4558.4,4500.2,4514.2,4427.0,4450.0,4467.0,-108.4,-91.4,3600.0,483220.764,9133.0,793.0
IF2103.CFX,20200910,4450.0,4467.0,4499.6,4509.6,4435.0,4444.2,4462.6,-22.8,-4.4,3532.0,474946.512,9347.0,214.0
IF2103.CFX,20200911,4444.2,4462.6,4440.0,4492.6,4433.0,4475.6,4478.4,13.0,15.8,2668.0,357040.638,9298.0,-49.0
IF2103.CFX,20200914,4475.6,4478.4,4502.0,4515.0,4466.0,4491.4,4478.4,13.0,0.0,3251.0,437811.864,10130.0,832.0
IF2103.CFX,20200915,4491.4,4478.4,4495.6,4525.0,4474.6,4518.0,4515.4,39.6,37.0,3084.0,416648.43,10553.0,423.0
IF2103.CFX,20200916,4518.0,4515.4,4525.0,4525.0,4462.8,4480.2,4475.6,-35.2,-39.8,3206.0,432368.856,11356.0,803.0
IF2103.CFX,20200917,4480.2,4475.6,4480.2,4504.8,4432.4,4460.0,4481.0,-15.6,5.4,3323.0,444805.926,11465.0,109.0
IF2103.CFX,20200918,4460.0,4481.0,4473.4,4639.0,4470.4,4639.0,4610.8,158.0,129.8,5140.0,702085.452,13027.0,1562.0
IF2103.CFX,20200921,4639.0,4610.8,4658.2,4658.2,4573.2,4579.2,4583.0,-31.6,-27.8,3224.0,445257.222,12706.0,-321.0
IF2103.CFX,20200922,4579.2,4583.0,4551.0,4600.6,4480.0,4502.2,4510.2,-80.8,-72.8,3925.0,534616.668,13363.0,657.0
IF2103.CFX,20200923,4502.2,4510.2,4507.8,4536.0,4491.2,4515.4,4517.6,5.2,7.4,2942.0,398540.046,13144.0,-219.0
IF2103.CFX,20200924,4515.4,4517.6,4486.0,4502.0,4425.0,4444.0,4447.2,-73.6,-70.4,4616.0,617024.88,14337.0,1193.0
IF2103.CFX,20200925,4444.0,4447.2,4462.0,4481.4,4444.6,4473.0,4469.2,25.8,22.0,3878.0,519284.574,14586.0,249.0
IF2103.CFX,20200928,4473.0,4469.2,4485.0,4514.0,4474.4,4483.8,4487.8,14.6,18.6,4031.0,543156.282,15390.0,804.0
IF2103.CFX,20200929,4483.8,4487.8,4518.0,4533.8,4498.0,4505.0,4512.2,17.2,24.4,4851.0,656799.732,17201.0,1811.0
IF2103.CFX,20200930,4505.0,4512.2,4526.6,4535.0,4446.0,4462.0,4466.6,-50.2,-45.6,5010.0,675560.256,17662.0,461.0
IF2103.CFX,20201009,4462.0,4466.6,4553.6,4588.0,4542.0,4551.4,4554.2,84.8,87.6,4099.0,561006.468,18252.0,590.0
IF2103.CFX,20201012,4551.4,4554.2,4584.0,4720.4,4583.0,4716.0,4704.4,161.8,150.2,6157.0,860833.572,19802.0,1550.0
IF2103.CFX,20201013,4716.0,4704.4,4706.6,4733.8,4683.4,4722.6,4722.0,18.2,17.6,4171.0,588723.768,20215.0,413.0
IF2103.CFX,20201014,4722.6,4722.0,4712.6,4717.2,4682.0,4698.0,4695.8,-24.0,-26.2,4244.0,597718.146,20627.0,412.0
IF2103.CFX,20201015,4698.0,4695.8,4698.0,4730.0,4681.6,4695.2,4695.4,-0.6,-0.4,3918.0,552723.438,21226.0,599.0
IF2103.CFX,20201016,4695.2,4695.4,4699.2,4722.8,4651.6,4689.6,4689.0,-5.8,-6.4,5652.0,796582.164,22186.0,960.0
IF2103.CFX,20201019,4689.6,4689.0,4719.2,4761.8,4630.2,4649.6,4644.8,-39.4,-44.2,6300.0,887526.102,22721.0,535.0
IF2106.CFX,20201019,,4689.0,4683.0,4706.6,4561.6,4579.4,4578.8,-109.6,-110.2,1299.0,180122.34,1249.0,
IF2103.CFX,20201020,4649.6,4644.8,4649.6,4681.0,4637.8,4674.0,4672.4,29.2,27.6,3701.0,517675.152,22750.0,29.0
IF2106.CFX,20201020,4579.4,4578.8,4581.0,4608.2,4568.4,4598.4,4601.6,19.6,22.8,937.0,129145.662,1649.0,400.0
IF2103.CFX,20201021,4674.0,4672.4,4682.0,4692.6,4638.2,4681.8,4669.4,9.4,-3.0,4371.0,611204.658,23231.0,481.0
