ts_code,symbol,name,list_date,delist_date
IF2101.CFX,IF2101,IF2101,20201123,20210115
IF2102.CFX,IF2102,IF2102,20201221,20210219
IF2103.CFX,IF2103,IF2103,20200720,20210319
IF2104.CFX,IF2104,IF2104,20210222,20210416
IF2105.CFX,IF2105,IF2105,20210322,20210521
IF2106.CFX,IF2106,IF2106,20201019,20210618
IF2107.CFX,IF2107,IF2107,20210524,20210716
IF2108.CFX,IF2108,IF2108,20210621,20210820
IF2109.CFX,IF2109,IF2109,20210118,20210917
IF2110.CFX,IF2110,IF2110,20210823,20211015
IF2111.CFX,IF2111,IF2111,20210922,20211119
IF2112.CFX,IF2112,IF2112,20210419,20211217
IF2201.CFX,IF2201,IF2201,20211122,20220121
IF2202.CFX,IF2202,IF2202,20211220,20220218
IF2203.CFX,IF2203,IF2203,20210719,20220318
IF2204.CFX,IF2204,IF2204,20220221,20220415
IF2205.CFX,IF2205,IF2205,20220321,20220520
IF2206.CFX,IF2206,IF2206,20211018,20220617
IF2207.CFX,IF2207,IF2207,20220523,20220715
IF2208.CFX,IF2208,IF2208,20220620,20220819
IF2209.CFX,IF2209,IF2209,20220124,20220916
IF2210.CFX,IF2210,IF2210,20220822,20221021
IF2211.CFX,IF2211,IF2211,20220919,20221118
IF2212.CFX,IF2212,IF2212,20220418,20221216
IF2301.CFX,IF2301,IF2301,20221121,20230120
IF2302.CFX,IF2302,IF2302,20221219,20230217
IF2303.CFX,IF2303,IF2303,20220718,20230317
IF2304.CFX,IF2304,IF2304,20230220,20230421
IF2305.CFX,IF2305,IF2305,20230320,20230519
IF2306.CFX,IF2306,IF2306,20221024,20230616
IF2307.CFX,IF2307,IF2307,20230522,20230721
IF2308.CFX,IF2308,IF2308,20230619,20230818
IF2309.CFX,IF2309,IF2309,20230130,20230915
IF2310.CFX,IF2310,IF2310,20230821,20231020
IF2311.CFX,IF2311,IF2311,20230918,20231117
IF2312.CFX,IF2312,IF2312,20230424,20231215
IF2403.CFX,IF2403,IF2403,20230724,20240315
IF2406.CFX,IF2406,IF2406,20231023,20240621
