ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,fut_code,list_date,delist_date,expiry_rank,generic,rollover,adj_price,adj_ratio
IF2004.CFX,20200319,3585.2,3610.2,3620.6,3634.6,3458.0,3561.8,3561.2,-48.4,-49.0,99342.0,10566775.092,85968.0,36553.0,IF,20200224,20200417,2.0,IFc2,1,3561.8,1.0
IF2005.CFX,20200417,3773.6,3773.0,3815.0,3837.4,3792.4,3796.6,3805.6,23.6,32.6,88038.0,10083124.086,81725.0,25113.0,IF,20200323,20200515,1.0,IFc1,1,3752.5,1.0
IF2006.CFX,20200514,3915.0,3914.2,3898.0,3900.0,3871.6,3882.4,3879.8,-31.8,-34.4,53605.0,6244997.22,84925.0,21542.0,IF,20191021,20200619,2.0,IFc2,1,3897.8,1.0
IF2007.CFX,20200618,3943.6,3940.0,3930.0,3995.0,3930.0,3992.4,3985.6,52.4,45.6,57305.0,6822846.27,77908.0,28459.0,IF,20200518,20200717,2.0,IFc2,1,3991.5,1.0
IF2008.CFX,20200716,4723.8,4754.2,4734.8,4770.0,4480.0,4495.0,4533.2,-259.2,-221.0,105791.0,14687518.086,81864.0,37945.0,IF,20200622,20200821,2.0,IFc2,1,4472.7,1.0
IF2009.CFX,20200820,4701.8,4725.0,4670.0,4691.0,4631.6,4659.6,4649.8,-65.4,-75.2,92493.0,12928654.584,117004.0,18808.0,IF,20200120,20200918,2.0,IFc2,1,4627.2,1.0
IF2010.CFX,20200917,4615.8,4608.4,4609.4,4636.0,4562.4,4593.4,4610.6,-15.0,2.2,70012.0,9651706.266,78924.0,35728.0,IF,20200824,20201016,2.0,IFc2,1,4593.4,1.0
IF2011.CFX,20201016,4782.0,4782.0,4786.8,4811.2,4735.0,4767.4,4767.0,-14.6,-15.0,79820.0,11443109.34,75685.0,20699.0,IF,20200921,20201120,1.0,IFc1,1,4759.9,1.0
IF2012.CFX,20201119,4873.2,4869.2,4863.0,4936.8,4859.2,4925.8,4921.8,56.6,52.6,72401.0,10649455.746,117829.0,20254.0,IF,20200420,20201218,2.0,IFc2,1,4933.9,1.0
IF2101.CFX,20201217,4944.0,4946.2,4935.0,5027.4,4935.0,5025.6,5018.4,79.4,72.2,58717.0,8789596.074,68936.0,32412.0,IF,20201123,20210115,2.0,IFc2,1,5025.6,1.0
