ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,fut_code,list_date,delist_date,expiry_rank,generic,rollover,ratio,adj_close
IF2001.CFX,20200116,4163.2,4170.4,4169.4,4173.2,4142.0,4157.4,4150.8,-13.0,-19.6,40645.0,5070773.22,21918.0,-25255.0,IF,20191118,20200117,1.0,IFc1,1,1.0,4157.4
IF2002.CFX,20191223,,4041.6,4035.2,4059.6,3981.6,3984.8,3995.4,-56.8,-46.2,801.0,96676.884,758.0,,IF,20191223,20200221,2.0,IFc2,1,0.9974568138195776,3974.7
IF2003.CFX,20200319,3610.0,3633.0,3628.8,3654.4,3480.0,3584.0,3585.0,-49.0,-48.0,90159.0,9673965.696,34065.0,-28193.0,IF,20190722,20200320,1.0,IFc1,1,0.9989971921379863,3580.4
IF2004.CFX,20200416,3789.4,3793.6,3779.2,3805.2,3775.0,3796.8,3795.6,3.2,2.0,52172.0,5930796.624,24808.0,-25560.0,IF,20200224,20200417,1.0,IFc1,1,1.0062328036386097,3820.5
IF2005.CFX,20200323,,3616.0,3512.0,3549.4,3466.8,3494.4,3505.2,-121.6,-110.8,960.0,100834.29,849.0,,IF,20200323,20200515,2.0,IFc2,1,1.0061479754080984,3515.9
IF2006.CFX,20200618,4007.0,4002.4,4000.0,4048.0,3991.8,4042.0,4037.6,39.6,35.2,47873.0,5772932.9520000005,24807.0,-21757.0,IF,20191021,20200619,1.0,IFc1,1,1.0069736614604345,4070.2
IF2007.CFX,20200716,4736.2,4773.8,4742.0,4782.6,4485.0,4496.0,4548.6,-277.8,-225.2,98371.0,13777101.972000001,31587.0,-35625.0,IF,20200518,20200717,1.0,IFc1,1,1.0124236048492135,4551.9
IF2008.CFX,20200622,,4057.8,4017.6,4083.4,4016.2,4031.2,4027.2,-26.6,-30.6,1072.0,130031.244,994.0,,IF,20200622,20200821,2.0,IFc2,1,1.000222469410456,4032.1
IF2009.CFX,20200917,4648.2,4642.8,4640.2,4664.6,4598.6,4625.6,4643.6,-17.2,0.8,61290.0,8507207.82,28924.0,-28957.0,IF,20200120,20200918,1.0,IFc1,1,1.0027361822794887,4638.3
IF2010.CFX,20201015,4813.6,4808.4,4813.8,4836.0,4790.0,4802.6,4805.2,-5.8,-3.2,51864.0,7485816.426,23852.0,-25574.0,IF,20200824,20201016,1.0,IFc1,1,1.007010057909174,4836.3
IF2011.CFX,20200921,,4715.4,4742.6,4742.6,4645.0,4651.4,4656.2,-64.0,-59.2,917.0,128609.802,888.0,,IF,20200921,20201120,2.0,IFc2,1,1.0043078209953995,4671.4
IF2012.CFX,20201217,4955.0,4955.2,4955.0,5030.8,4946.6,5029.8,5023.4,74.6,68.2,53927.0,8069959.356000001,25362.0,-25587.0,IF,20200420,20201218,1.0,IFc1,1,1.0050561797752808,5055.2
IF2101.CFX,20210114,5578.6,5567.4,5564.6,5569.0,5466.0,5478.4,5488.6,-89.0,-78.8,72851.0,12067382.435999999,28087.0,-37006.0,IF,20201123,20210115,1.0,IFc1,1,1.0008357211079273,5483.0
IF2102.CFX,20201221,,4990.4,4983.2,5050.0,4952.8,5032.6,5036.4,42.2,46.0,457.0,68718.258,433.0,,IF,20201221,20210219,2.0,IFc2,1,0.9998904909655046,5032.0
IF2103.CFX,20210318,5074.2,5081.6,5098.0,5150.0,5097.2,5134.8,5122.6,53.2,41.0,78755.0,12095798.646,41604.0,-44221.0,IF,20200720,20210319,1.0,IFc1,1,1.0015124378109455,5142.6
IF2104.CFX,20210415,4976.8,4979.6,4968.2,4970.0,4896.4,4954.0,4942.8,-25.6,-36.8,64765.0,9585389.154,31518.0,-31930.0,IF,20210222,20210416,1.0,IFc1,1,1.01090680001575,5008.0
IF2105.CFX,20210322,,4928.8,4924.6,4985.2,4895.4,4969.2,4968.6,40.4,39.8,1163.0,172782.77399999998,1096.0,,IF,20210322,20210521,2.0,IFc2,1,1.0072790858444147,5005.4
IF2106.CFX,20210617,5081.0,5082.4,5075.0,5119.0,5074.6,5093.0,5095.2,10.6,12.8,61557.0,9411267.083999999,36690.0,-35599.0,IF,20201019,20210618,1.0,IFc1,1,1.007951318458418,5133.5
IF2107.CFX,20210715,5075.0,5077.2,5078.6,5155.0,5060.0,5145.8,5146.0,68.6,68.8,61383.0,9399762.012,26882.0,-38495.0,IF,20210524,20210716,1.0,IFc1,1,1.006481957234892,5179.2
IF2108.CFX,20210621,,5073.6,5035.0,5076.2,5007.4,5039.6,5032.8,-34.0,-40.8,1071.0,161714.304,1046.0,,IF,20210621,20210820,2.0,IFc2,1,1.0032754922986937,5056.1
IF2109.CFX,20210916,4869.8,4859.4,4873.8,4886.6,4805.6,4812.6,4820.0,-46.8,-39.4,61240.0,8899290.006000001,33731.0,-26882.0,IF,20210118,20210917,1.0,IFc1,1,1.002386824727504,4824.1
IF2110.CFX,20211014,4935.6,4938.8,4935.8,4958.6,4897.4,4907.2,4914.6,-31.6,-24.2,47250.0,6977866.83,25139.0,-24197.0,IF,20210823,20211015,1.0,IFc1,1,1.0027503437929743,4920.7
IF2111.CFX,20210922,,4846.4,4770.0,4816.8,4757.0,4799.8,4797.8,-46.6,-48.6,1171.0,168245.01,1142.0,,IF,20210922,20211119,2.0,IFc2,1,1.001224189994287,4805.7
IF2112.CFX,20211216,5009.2,5017.6,5013.8,5035.8,4996.0,5035.2,5028.2,17.6,10.6,46816.0,7046670.318,28878.0,-27923.0,IF,20210419,20211217,1.0,IFc1,1,1.0022970263949216,5046.8
IF2201.CFX,20220120,4788.4,4779.2,4784.4,4854.8,4784.4,4825.0,4827.0,45.8,47.8,45581.0,6592542.1620000005,24238.0,-20536.0,IF,20211122,20220121,1.0,IFc1,1,0.9974248246899885,4812.6
IF2202.CFX,20211220,,4979.4,4960.4,4996.8,4900.2,4907.2,4913.4,-72.2,-66.0,1030.0,152654.16,1004.0,,IF,20211220,20220218,2.0,IFc2,1,0.9981794861185816,4898.3
IF2203.CFX,20220317,4152.2,4152.0,4239.6,4302.0,4208.8,4234.0,4240.6,82.0,88.6,68064.0,8664085.068,32138.0,-31370.0,IF,20210719,20220318,1.0,IFc1,1,0.9992262268377112,4230.7
IF2204.CFX,20220414,4147.8,4164.6,4180.0,4218.6,4159.2,4186.2,4200.0,21.6,35.4,60196.0,7559620.182,27714.0,-28680.0,IF,20220221,20220415,1.0,IFc1,1,1.005652938102703,4209.9
IF2205.CFX,20220321,,4240.0,4219.8,4231.8,4158.4,4196.0,4196.0,-44.0,-44.0,1097.0,138331.164,1058.0,,IF,20220321,20220520,2.0,IFc2,1,1.0003823543468908,4197.6
IF2206.CFX,20220616,4277.4,4309.2,4292.0,4308.0,4241.2,4248.8,4254.8,-60.4,-54.4,63799.0,8197729.836,37224.0,-34350.0,IF,20211018,20220617,1.0,IFc1,1,1.0052225576158307,4271.0
IF2207.CFX,20220714,4306.6,4304.2,4293.4,4341.0,4285.2,4310.0,4306.8,5.8,2.6,55040.0,7121180.922,32548.0,-24341.0,IF,20220523,20220715,1.0,IFc1,1,1.008880657263618,4348.3
IF2208.CFX,20220620,,4273.6,4283.4,4322.8,4240.8,4264.6,4278.8,-9.0,5.2,1589.0,203662.53,1560.0,,IF,20220620,20220819,2.0,IFc2,1,1.0037261294829996,4280.5
IF2209.CFX,20220915,4068.8,4069.6,4075.0,4086.6,4005.8,4029.8,4022.4,-39.8,-47.2,52957.0,6439958.484,33911.0,-23222.0,IF,20220124,20220916,1.0,IFc1,1,1.0025860447620838,4040.2
IF2210.CFX,20221020,3775.2,3778.6,3754.2,3812.4,3729.0,3761.0,3759.6,-17.6,-19.0,43476.0,4901790.618,25632.0,-14687.0,IF,20220822,20221021,1.0,IFc1,1,1.000198560436833,3761.7
IF2211.CFX,20220919,,3944.0,3934.0,3951.2,3914.2,3927.2,3924.4,-16.8,-19.6,1007.0,118762.332,964.0,,IF,20220919,20221118,2.0,IFc2,1,1.0017579373535053,3934.1
IF2212.CFX,20221215,3960.8,3956.8,3965.0,3970.4,3930.6,3953.4,3954.2,-3.4,-2.6,53638.0,6353250.57,35322.0,-30935.0,IF,20220418,20221216,1.0,IFc1,1,1.001274794758044,3958.4
IF2301.CFX,20230119,4133.4,4136.6,4121.4,4162.2,4105.0,4158.0,4151.0,21.4,14.4,36370.0,4508257.452,25305.0,-17246.0,IF,20221121,20230120,1.0,IFc1,1,0.9967727295648228,4144.6
IF2302.CFX,20221219,,3964.0,3978.4,3997.4,3901.8,3919.8,3913.0,-44.2,-51.0,1450.0,171102.63,1390.0,,IF,20221219,20230217,2.0,IFc2,1,0.9961190168175938,3904.6
IF2303.CFX,20230316,3986.4,3989.6,3956.0,3987.6,3935.6,3941.0,3947.6,-48.6,-42.0,48932.0,5819965.206,32380.0,-20081.0,IF,20220718,20230317,1.0,IFc1,1,0.9978108135627737,3932.4
IF2304.CFX,20230420,4125.2,4131.4,4125.6,4130.2,4098.0,4105.2,4106.8,-26.2,-24.6,34677.0,4278696.258,22033.0,-17671.0,IF,20230220,20230421,1.0,IFc1,1,0.9995434716445165,4103.3
IF2305.CFX,20230320,,3964.4,3965.8,3992.2,3943.0,3945.2,3950.2,-19.2,-14.2,1157.0,137884.94400000002,1103.0,,IF,20230320,20230519,2.0,IFc2,1,0.9978124544261339,3936.6
IF2306.CFX,20230615,3860.6,3864.4,3873.0,3925.8,3868.4,3924.2,3919.8,59.8,55.4,49804.0,5817998.988,31268.0,-23193.0,IF,20221024,20230616,1.0,IFc1,1,1.0023883327404848,3933.6
IF2307.CFX,20230720,3854.8,3851.0,3867.2,3881.6,3818.0,3824.8,3831.6,-26.2,-19.4,39880.0,4611521.076,27458.0,-19658.0,IF,20230522,20230721,1.0,IFc1,1,1.0077037645729547,3854.3
IF2308.CFX,20230619,,3936.4,3924.2,3937.4,3901.0,3905.2,3906.6,-31.2,-29.8,1341.0,157556.1,1307.0,,IF,20230619,20230818,2.0,IFc2,1,0.9989031078610604,3900.9
IF2309.CFX,20230914,3739.6,3731.4,3740.0,3750.0,3717.0,3737.6,3729.2,6.2,-2.2,60859.0,6817531.68,48280.0,-36847.0,IF,20230130,20230915,1.0,IFc1,1,0.9980066445182724,3730.1
IF2310.CFX,20231019,3613.2,3615.0,3588.2,3596.2,3531.8,3536.6,3544.6,-78.4,-70.4,52221.0,5586129.318,38404.0,-24769.0,IF,20230821,20231020,1.0,IFc1,1,0.9988241582041689,3532.4
IF2311.CFX,20230918,,3717.2,3725.0,3761.4,3711.8,3748.6,3748.6,31.4,31.4,1531.0,171920.16,1482.0,,IF,20230918,20231117,2.0,IFc2,1,0.9994348047250325,3746.5
IF2312.CFX,20231026,3511.2,3517.0,3498.0,3530.8,3493.0,3526.0,3519.6,9.0,2.6,26898.0,2831599.584,146768.0,1616.0,IF,20230424,20231215,2.0,IFc2,1,0.9972333067305134,3516.2
