,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,fut_code,list_date,delist_date,expiry_rank,generic,rollover
1698,IF2003.CFX,20190722,,3779.4,3795.6,3795.6,3737.2,3755.6,3761.6,-23.8,-17.8,166.0,18769.494,161.0,,IF,20190722,20200320,1.0,IFc1,
1699,IF2003.CFX,20190723,3755.6,3761.6,3762.8,3769.6,3750.0,3760.8,3763.6,-0.8,2.0,102.0,11505.006000000001,181.0,20.0,IF,20190722,20200320,1.0,IFc1,
1700,IF2003.CFX,20190724,3760.8,3763.6,3780.8,3816.6,3780.8,3791.2,3785.6,27.6,22.0,122.0,13918.578000000001,237.0,56.0,IF,20190722,20200320,1.0,IFc1,
1701,IF2003.CFX,20190725,3791.2,3785.6,3792.0,3827.4,3786.4,3826.8,3814.0,41.2,28.4,318.0,36335.85,437.0,200.0,IF,20190722,20200320,1.0,IFc1,
1702,IF2003.CFX,20190726,3826.8,3814.0,3810.2,3838.6,3810.2,3831.2,3834.6,17.2,20.6,191.0,21928.433999999997,447.0,10.0,IF,20190722,20200320,1.0,IFc1,
1703,IF2003.CFX,20190729,3831.2,3834.6,3831.0,3833.8,3811.6,3824.0,3823.2,-10.6,-11.4,598.0,68513.898,884.0,437.0,IF,20190722,20200320,1.0,IFc1,
1704,IF2003.CFX,20190730,3824.0,3823.2,3836.8,3867.4,3835.0,3842.6,3846.4,19.4,23.2,295.0,34058.358,945.0,61.0,IF,20190722,20200320,1.0,IFc1,
1705,IF2003.CFX,20190731,3842.6,3846.4,3830.2,3830.2,3807.6,3819.4,3816.4,-27.0,-30.0,327.0,37448.202000000005,1064.0,119.0,IF,20190722,20200320,1.0,IFc1,
1706,IF2003.CFX,20190801,3819.4,3816.4,3804.6,3809.0,3775.2,3787.4,3785.8,-29.0,-30.6,479.0,54465.93,1280.0,216.0,IF,20190722,20200320,1.0,IFc1,
1707,IF2003.CFX,20190802,3787.4,3785.8,3728.2,3729.8,3700.0,3721.0,3721.6,-64.8,-64.2,452.0,50332.398,1298.0,18.0,IF,20190722,20200320,1.0,IFc1,
1708,IF2003.CFX,20190805,3721.0,3721.6,3690.6,3704.8,3648.0,3653.2,3656.4,-68.4,-65.2,600.0,66037.788,1615.0,317.0,IF,20190722,20200320,1.0,IFc1,
1709,IF2003.CFX,20190806,3653.2,3656.4,3593.6,3622.8,3562.2,3604.8,3606.0,-51.6,-50.4,672.0,72455.712,1852.0,237.0,IF,20190722,20200320,1.0,IFc1,
1710,IF2003.CFX,20190807,3604.8,3606.0,3619.8,3623.0,3576.0,3579.4,3590.6,-26.6,-15.4,463.0,50010.072,1871.0,19.0,IF,20190722,20200320,1.0,IFc1,
1711,IF2003.CFX,20190808,3579.4,3590.6,3603.8,3623.2,3596.0,3602.8,3605.0,12.2,14.4,372.0,40257.81,1898.0,27.0,IF,20190722,20200320,1.0,IFc1,
1712,IF2003.CFX,20190809,3602.8,3605.0,3618.0,3625.6,3577.2,3590.0,3582.0,-15.0,-23.0,425.0,45895.59,2004.0,106.0,IF,20190722,20200320,1.0,IFc1,
1713,IF2003.CFX,20190812,3590.0,3582.0,3608.4,3632.6,3590.2,3628.0,3618.6,46.0,36.6,389.0,42078.444,2075.0,71.0,IF,20190722,20200320,1.0,IFc1,
1714,IF2003.CFX,20190813,3628.0,3618.6,3611.2,3619.6,3594.2,3608.2,3602.0,-10.4,-16.6,412.0,44556.924000000006,2214.0,139.0,IF,20190722,20200320,1.0,IFc1,
1715,IF2003.CFX,20190814,3608.2,3602.0,3651.0,3661.0,3633.4,3633.4,3637.8,31.4,35.8,359.0,39266.91,2309.0,95.0,IF,20190722,20200320,1.0,IFc1,
1716,IF2003.CFX,20190815,3633.4,3637.8,3585.2,3661.8,3579.2,3655.0,3653.4,17.2,15.6,803.0,87257.862,2581.0,272.0,IF,20190722,20200320,1.0,IFc1,
1717,IF2003.CFX,20190816,3655.0,3653.4,3658.0,3694.8,3638.8,3666.4,3670.4,13.0,17.0,1023.0,112812.37800000001,2940.0,359.0,IF,20190722,20200320,1.0,IFc1,
1718,IF2003.CFX,20190819,3666.4,3670.4,3691.8,3769.0,3679.6,3766.0,3758.2,95.6,87.8,1133.0,126984.528,3288.0,348.0,IF,20190722,20200320,1.0,IFc1,
1719,IF2003.CFX,20190820,3766.0,3758.2,3755.6,3778.8,3753.2,3755.8,3757.0,-2.4,-1.2,517.0,58367.736,3298.0,10.0,IF,20190722,20200320,1.0,IFc1,
1720,IF2003.CFX,20190821,3755.8,3757.0,3750.0,3763.4,3747.8,3753.8,3754.8,-3.2,-2.2,287.0,32333.273999999998,3289.0,-9.0,IF,20190722,20200320,1.0,IFc1,
1721,IF2003.CFX,20190822,3753.8,3754.8,3763.8,3766.0,3740.4,3755.4,3756.4,0.6,1.6,463.0,52113.882000000005,3408.0,119.0,IF,20190722,20200320,1.0,IFc1,
1722,IF2003.CFX,20190823,3755.4,3756.4,3761.4,3801.8,3753.2,3783.6,3786.8,27.2,30.4,475.0,53917.356,3417.0,9.0,IF,20190722,20200320,1.0,IFc1,
